0,0,3
0,1,2
0,2,5
0,3,5
0,4,5
0,5,5
0,6,4
0,7,3
0,8,5
0,9,5
0,10,4
0,11,5
0,12,5
0,13,3
0,14,3
0,15,5
0,16,5
0,17,2
0,18,2
0,19,5
0,20,5
0,21,3
0,22,3
0,23,4
0,24,4
0,25,5
0,26,5
0,27,1
0,28,5
0,29,4
0,30,5
0,31,5
0,32,4
0,33,4
0,34,3
0,35,1
0,36,5
0,37,5
0,38,5
0,39,5
0,40,5
0,41,4
0,42,5
0,43,3
0,44,4
0,45,4
0,46,5
0,47,3
0,48,4
0,49,4
0,50,3
1,52,4
1,53,2
1,54,1
1,55,3
1,56,4
1,57,5
1,58,5
1,59,5
1,60,3
1,61,3
1,62,3
1,63,3
1,64,1
1,65,5
1,66,4
1,67,5
1,68,3
1,69,2
1,70,5
1,71,3
1,34,3
1,72,5
1,73,1
1,74,5
1,75,5
1,76,4
1,77,5
1,78,3
1,79,4
2,81,2
2,82,2
2,83,5
2,84,5
2,85,3
2,86,3
2,87,5
2,88,4
2,89,5
2,90,3
2,91,5
2,92,3
2,93,3
2,94,4
2,95,5
2,96,5
2,97,5
2,98,5
2,44,5
2,99,5
2,100,5
2,101,5
2,15,4
2,102,5
2,103,5
2,104,3
2,105,5
2,106,5
3,108,5
3,109,3
3,110,5
3,111,3
3,112,3
3,113,5
3,114,3
3,115,4
3,116,3
3,117,2
3,118,4
3,119,4
3,120,5
3,121,2
3,122,3
3,123,3
3,124,2
3,125,3
3,126,5
3,127,5
3,128,3
3,129,5
3,31,4
3,32,5
3,19,3
3,94,5
3,85,4
3,4,5
3,89,5
3,130,5
3,131,4
3,132,5
3,133,5
3,134,5
3,135,5
4,136,4
4,137,4
4,138,4
4,139,4
4,140,4
4,141,5
4,142,4
4,143,4
4,144,4
4,145,4
4,146,4
4,147,4
4,148,4
4,149,3
4,150,3
4,151,4
4,152,4
4,153,5
4,154,5
4,133,4
4,155,3
4,156,2
4,157,4
4,31,4
4,49,5
4,158,3
4,159,3
4,134,4
4,127,4
